row_num,csv_parent_path,csv_name,status,message,subcategory_id,db_name_ar,db_name_en,slug,parent_subcategory_id,category_id
104,"المركبات > سيارات دفع رباعي وبيك آب > Mazda",CX-50,added,"Created subcategory id 44823",44823,CX-50,CX-50,mazda-Off-Road-SUV-Pickup-Trucks-cx-50,34024,1
105,"المركبات > سيارات دفع رباعي وبيك آب > Mazda",CX-60,added,"Created subcategory id 44824",44824,CX-60,CX-60,mazda-Off-Road-SUV-Pickup-Trucks-cx-60,34024,1
106,"المركبات > سيارات دفع رباعي وبيك آب > Mazda",CX-90,added,"Created subcategory id 44825",44825,CX-90,CX-90,mazda-Off-Road-SUV-Pickup-Trucks-cx-90,34024,1
107,"المركبات > سيارات دفع رباعي وبيك آب > Mitsubishi","Pajero Sport",added,"Created subcategory id 44826",44826,"Pajero Sport","Pajero Sport",mitsubishi-Off-Road-SUV-Pickup-Trucks-pajero-sport,34028,1
108,"المركبات > سيارات دفع رباعي وبيك آب > Nissan",Ariya,added,"Created subcategory id 44827",44827,Ariya,Ariya,nissan-Off-Road-SUV-Pickup-Trucks-ariya,34029,1
109,"المركبات > سيارات دفع رباعي وبيك آب > Nissan",Armada,added,"Created subcategory id 44828",44828,Armada,Armada,nissan-Off-Road-SUV-Pickup-Trucks-armada,34029,1
110,"المركبات > سيارات دفع رباعي وبيك آب > Nissan",Frontier,added,"Created subcategory id 44829",44829,Frontier,Frontier,nissan-Off-Road-SUV-Pickup-Trucks-frontier,34029,1
111,"المركبات > سيارات دفع رباعي وبيك آب > Nissan",Kicks,added,"Created subcategory id 44830",44830,Kicks,Kicks,nissan-Off-Road-SUV-Pickup-Trucks-kicks,34029,1
112,"المركبات > سيارات دفع رباعي وبيك آب > Nissan",Rogue,added,"Created subcategory id 44831",44831,Rogue,Rogue,nissan-Off-Road-SUV-Pickup-Trucks-rogue,34029,1
113,"المركبات > سيارات دفع رباعي وبيك آب > Nissan",Titan,added,"Created subcategory id 44832",44832,Titan,Titan,nissan-Off-Road-SUV-Pickup-Trucks-titan,34029,1
114,"المركبات > سيارات دفع رباعي وبيك آب > Peugeot",4008,added,"Created subcategory id 44833",44833,4008,4008,peugeot-Off-Road-SUV-Pickup-Trucks-4008,34031,1
115,"المركبات > سيارات دفع رباعي وبيك آب > Renault",Arkana,added,"Created subcategory id 44834",44834,Arkana,Arkana,renault-Off-Road-SUV-Pickup-Trucks-arkana,34033,1
116,"المركبات > سيارات دفع رباعي وبيك آب > Subaru",Ascent,added,"Created subcategory id 44835",44835,Ascent,Ascent,subaru-Off-Road-SUV-Pickup-Trucks-ascent,34040,1
117,"المركبات > سيارات دفع رباعي وبيك آب > Suzuki",Ertiga,added,"Created subcategory id 44836",44836,Ertiga,Ertiga,suzuki-Off-Road-SUV-Pickup-Trucks-ertiga,34041,1
